bus_stop,lat,long
BANASHANKARI TTMC,12.91756291,77.57344712
Sangam Circle,12.91762498,77.57737795
Jayanagara 5th Block,12.91709164,77.58492434
Marenahalli Petrol Bunk,12.91704101,77.58865857
Ragigudda,12.9169,77.59314519
Jayadeva Hospital,12.91685779,77.59746904
MICO Layout,12.91669777,77.60346678
BTM water Tank,12.91670482,77.60674168
Udupi Garden,12.91664233,77.60903892
BTM Layout Bus Stop,12.91636292,77.61599053
Central Silk Board,12.9177241,77.62390018
HSR Apartment,12.91680553,77.62932712
14th Main HSR Layout,12.91627,77.6353
Depot-25,12.91997935,77.64300811
Agara Junction,12.92444,77.65051
Ibbaluru Sarjapura Road,12.921205,77.662857
Sarjapura Cross,12.92119908,77.66580497
Petrol Bunk,12.92311922,77.67000118
Bellandur gate,12.92497903,77.67403406
Eco Space,12.92797569,77.68032997
Devarabisanahalli,12.93206981,77.68708139
New Horizon College,12.93545,77.6911
Kada Bisanahalli,12.93962105,77.69520275
Multiplex Marathahalli,12.95156,77.6997
Marathalli Bridge,12.95408442,77.70025145
Karthik Nagara,12.96838939,77.70133758
Dodda Nekkundi,12.97981401,77.69440256
EMC2,12.98239971,77.69279899
Mahadevapura,12.98863764,77.6889819
B Narayanapura,12.99647279,77.68342688
KR Puram Railway Station,12.99988978,77.6762812
Tin Factory,12.99636412,77.66866193
Jn of Kasturi Nagara,13.00403,77.66316
BChannasandra,13.01127976,77.66227825
"Vijaya Bank Colony,DODDA BANASAWADI",13.0169559,77.66014924
"Horamabu petrol bunk,BANASAWADI",13.01941329,77.65433291
"Babusab Palya,KALYANA NAGARA",13.0224129,77.64733761
"80 Feet Road Kalyan Nagara,KALYANA NAGARA",13.02529059,77.64053667
Kalyana Nagara,13.02636557,77.6364009
Jn of Hennur Cross,13.02934921,77.63125598
HBR Layout,13.03413,77.62895
Jn of Nagavara,13.04046938,77.62394322
Manyatha Tech Park,13.04107,77.62088
Veeranna Palya,13.04211,77.61355
Kempapura,13.04358395,77.6008414
Hebbala,13.0426667,77.59113626
